Name,n,m,random,greedy,semi-greedy,local search iteration,local search avg value,GRASP iteration,GRASP value
benchmark/g10.rud,800,19176,-77.76,1693,1430.02,1738.66,100,1853,100,
benchmark/g11.rud,800,1600,16.38,482,418.44,449.32,100,478,100,
benchmark/g12.rud,800,1600,-0.86,478,401.29,432.67,100,457,100,
benchmark/g13.rud,800,1600,15.28,494,426.11,460.72,100,496,100,
benchmark/g14.rud,800,4694,2354.78,2940,2934.45,2965.7,100,2987,100,
benchmark/g15.rud,800,4661,2330,2917,2914.34,2946.38,100,2972,100,
benchmark/g16.rud,800,4672,2336.63,2901,2917.37,2950.01,100,2971,100,
benchmark/g17.rud,800,4667,2331.77,2924,2913.96,2948.75,100,2972,100,
benchmark/g18.rud,800,4694,38.6,836,733.07,843.39,100,900,100,
benchmark/g19.rud,800,4661,-62.62,773,641.76,756.17,100,797,100,
benchmark/g1.rud,800,19176,9570.21,11275,11103.1,11361,100,11482,100,
benchmark/g20.rud,800,4672,-22.91,775,669.72,780.42,100,829,100,
benchmark/g21.rud,800,4667,-24.05,761,656.82,776.72,100,823,100,
benchmark/g22.rud,2000,19990,9986.39,12807,12628.5,12883.7,100,12980,100,
benchmark/g23.rud,2000,19990,9991.75,12777,12619.7,12885.3,100,12964,100,
benchmark/g24.rud,2000,19990,9987.51,12786,12622.9,12881.6,100,12985,100,
benchmark/g25.rud,2000,19990,9985.23,12775,12628.1,12888,100,12999,100,
benchmark/g26.rud,2000,19990,10006,12751,12623.3,12882.1,100,13005,100,
benchmark/g27.rud,2000,19990,-20.57,2652,2382.38,2814.59,100,2913,100,
benchmark/g28.rud,2000,19990,-53.01,2675,2357.99,2780.91,100,2878,100,
benchmark/g29.rud,2000,19990,32.69,2753,2439.63,2872.74,100,2998,100,
benchmark/g2.rud,800,19176,9582.8,11243,11105.5,11368,100,11441,100,
benchmark/g30.rud,2000,19990,47.95,2800,2446.86,2876.78,100,2982,100,
benchmark/g31.rud,2000,19990,-39.87,2765,2362.46,2802.28,100,2870,100,
benchmark/g32.rud,2000,4000,8.68,1182,1026,1106.12,100,1150,100,
benchmark/g33.rud,2000,4000,-17.74,1162,996.07,1077.22,100,1115,100,
benchmark/g34.rud,2000,4000,-24.46,1184,990.23,1075.32,100,1115,100,
benchmark/g35.rud,2000,11778,5891.25,7370,7360.4,7438.37,100,7481,100,
benchmark/g36.rud,2000,11766,5881.86,7384,7349.27,7429.72,100,7470,100,
benchmark/g37.rud,2000,11785,5899.78,7385,7359.12,7439.84,100,7475,100,
benchmark/g38.rud,2000,11779,5887.11,7381,7360.28,7440.97,100,7473,100,
benchmark/g39.rud,2000,11778,17.65,2012,1712.18,2017.28,100,2086,100,
benchmark/g3.rud,800,19176,9587.78,11292,11102.2,11359.6,100,11456,100,
benchmark/g40.rud,2000,11766,-47.36,2007,1711.58,1994.29,100,2111,100,
benchmark/g41.rud,2000,11785,-21.56,2005,1713.86,2006.13,100,2122,100,
benchmark/g42.rud,2000,11779,60.55,2131,1782.78,2085.01,100,2188,100,
benchmark/g43.rud,1000,9990,4996.94,6380,6299.1,6432.82,100,6510,100,
benchmark/g44.rud,1000,9990,4996.79,6386,6291.8,6427.48,100,6499,100,
benchmark/g45.rud,1000,9990,4992.46,6341,6284.91,6426.28,100,6496,100,
benchmark/g46.rud,1000,9990,4995.44,6362,6292.48,6428.72,100,6489,100,
benchmark/g47.rud,1000,9990,4986.57,6429,6293.97,6433.02,100,6497,100,
benchmark/g48.rud,3000,6000,3003.72,6000,5707.98,5713.4,100,6000,100,
benchmark/g49.rud,3000,6000,3003.04,6000,5699.6,5705.1,100,5940,100,
benchmark/g4.rud,800,19176,9597.41,11333,11109.6,11373.8,100,11435,100,
benchmark/g50.rud,3000,6000,2997.66,5880,5694.63,5699.33,100,5830,100,
benchmark/g51.rud,1000,5909,2947.81,3680,3685.01,3727.95,100,3750,100,
benchmark/g52.rud,1000,5916,2959.36,3699,3689.75,3731.67,100,3759,100,
benchmark/g53.rud,1000,5914,2956.01,3719,3685.83,3726.19,100,3748,100,
benchmark/g54.rud,1000,5916,2961.79,3704,3683.3,3724.81,100,3754,100,
benchmark/g5.rud,800,19176,9574.36,11354,11097.4,11364.2,100,11460,100,
benchmark/g6.rud,800,19176,75.23,1723,1595.47,1906.92,100,2007,100,
benchmark/g7.rud,800,19176,-80.02,1654,1435.46,1732.8,100,1815,100,
benchmark/g8.rud,800,19176,-81.74,1583,1435.8,1747.6,100,1867,100,
benchmark/g9.rud,800,19176,-37.43,1610,1480.94,1781.84,100,1881,100,
